AK_B_2,-0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.06%0.11%1.66%,0.0%0.0%0.0%0.0%0.22%0.97%1.65%1.84%2.53%4.17%,0.0%0.0%0.0%0.13%0.25%0.35%2.7%3.05%3.99%4.25%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%14.37%17.13%34.27%37.85%,0.0%0.0%0.0%0.0%0.0%0.06%0.12%0.37%0.39%3.31%,0.0%0.0%0.25%0.96%1.03%1.21%3.89%5.0%8.54%9.91%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%1.21%2.48%2.91%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%37.07%,-1.19%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%6.04%,0.0%1.21%1.41%8.51%14.43%17.16%17.71%26.14%47.37%81.17%
AK_B_6,0.0%0.0%0.0%0.76%,0.0%0.0%0.49%2.13%,0.0%0.04%0.77%1.29%,0.0%0.0%0.0%1.2%,0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%,0.0%0.0%0.01%1.18%,0.0%3.77%4.55%5.41%,0.0%0.0%0.11%0.57%,0.0%0.36%3.91%5.29%,0.0%0.55%0.66%0.99%,0.0%0.0%0.0%1.08%,0.0%0.0%9.55%13.71%,1.09%10.88%20.14%26.27%
AK_B_1,0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.74%,0.0%0.0%0.0%66.72%,0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%,0.0%0.0%1.22%9.12%,0.0%0.0%2.79%17.72%,0.0%0.0%0.0%0.19%,0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%,0.0%0.0%19.88%78.63%
AK_C_4,0.0%0.0%0.0%0.0%0.0%0.0%0.01%0.01%0.03%0.05%0.36%0.43%0.85%,0.0%0.0%0.0%0.05%0.41%0.42%0.72%0.77%0.83%1.25%1.29%1.61%1.8%,0.0%0.04%0.14%0.52%0.73%0.93%0.97%1.27%1.33%1.36%1.5%2.33%13.73%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.17%1.2%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.36%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%1.85%,0.0%0.0%0.0%0.0%0.0%0.04%0.99%1.36%4.25%9.41%13.2%13.34%23.02%,0.0%0.0%0.02%0.08%0.11%0.11%0.18%0.22%0.27%0.51%0.81%0.94%2.81%,0.0%0.0%0.62%1.21%1.43%1.5%1.58%1.64%2.83%3.26%4.05%6.15%9.23%,0.0%0.0%0.0%0.0%0.02%0.35%0.49%0.63%0.73%0.91%1.35%1.64%2.39%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.02%0.22%,0.0%0.0%0.0%0.18%0.61%1.18%1.89%2.26%4.8%5.32%5.5%7.18%9.3%,0.11%3.99%7.47%8.97%11.61%12.4%12.9%16.51%17.01%17.19%22.77%29.36%31.16%
AK_C_3,0.0%0.0%0.0%0.0%0.0%0.0%0.03%0.13%0.59%,0.0%0.0%0.66%1.01%1.14%1.26%2.05%2.42%5.01%,0.4%0.52%0.67%0.83%0.91%1.01%1.22%2.33%5.03%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.83%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.58%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.56%1.96%2.8%4.39%6.57%9.77%20.9%,0.0%0.0%0.01%0.13%0.18%0.35%1.17%1.41%3.11%,0.35%0.47%0.65%0.91%1.38%1.71%2.2%3.25%5.51%,0.0%0.0%0.0%0.0%0.0%0.0%0.04%0.54%1.64%,0.0%0.0%0.0%0.0%0.0%0.0%0.01%0.24%0.91%,0.0%0.0%0.0%0.0%0.32%2.46%3.33%4.59%8.67%,3.85%6.82%8.85%11.66%13.87%19.42%20.89%29.1%31.98%
AK_C_2,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.46%2.21%4.14%,0.0%0.0%0.0%0.0%0.3%0.62%0.62%1.38%1.8%3.31%4.57%5.9%8.66%,0.0%0.0%0.0%0.0%0.0%0.64%1.64%2.04%2.62%3.44%3.45%3.58%48.16%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%3.31%10.01%21.11%26.02%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%4.73%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%34.14%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.3%2.47%6.75%13.22%43.02%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.31%0.79%2.85%3.45%6.02%,0.0%0.02%0.24%1.17%1.18%1.38%2.35%2.75%2.77%4.44%4.69%5.86%9.37%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.35%1.11%1.27%2.23%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.02%0.09%,0.0%0.0%0.0%0.0%0.0%0.0%0.92%2.09%3.17%6.93%7.54%8.25%11.9%,3.74%4.08%11.22%11.35%12.59%22.9%24.4%27.83%29.94%34.76%50.4%56.64%70.29%
AK_C_1,0.0%0.0%0.0%,0.0%1.24%5.94%,0.0%2.41%8.75%,0.0%0.0%0.0%,0.0%0.0%0.0%,0.0%0.0%0.0%,0.0%0.0%0.0%,0.79%4.4%42.3%,0.84%1.34%2.05%,0.0%0.65%4.79%,0.0%0.0%0.3%,0.0%0.0%0.0%,0.0%0.0%0.0%,11.69%13.48%50.63%
AK_C_5,0.18%,0.58%,0.03%,0.00%,0.00%,0.00%,0.26%,0.13%,0.00%,0.19%,0.18%,0.02%,0.57%,2.13%
AK_D_2,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.52%,0.0%0.0%0.0%0.0%1.56%2.26%2.7%3.53%,0.0%0.0%0.32%0.68%0.97%1.0%1.02%8.17%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.13%2.03%2.34%15.62%,0.0%0.0%0.0%0.09%0.19%1.09%2.18%3.52%,0.08%0.19%0.21%0.65%1.42%2.6%3.85%68.01%,0.0%0.0%0.0%0.0%0.0%0.13%0.13%2.82%,0.0%0.0%0.0%0.0%0.0%1.51%2.07%4.95%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.34%1.29%1.4%10.29%10.56%12.78%15.54%86.34%
AK_D_4,0.0%0.01%0.17%0.29%0.33%0.47%,0.0%0.08%0.46%0.65%1.44%1.85%,0.12%0.2%1.55%3.21%3.96%4.03%,0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.24%1.79%,0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%,0.11%0.32%0.45%0.47%0.98%3.49%,0.0%0.21%0.3%0.6%0.78%6.31%,0.0%0.03%0.21%1.41%5.44%15.75%,0.0%0.0%0.11%0.59%0.6%1.07%,0.0%0.0%0.0%0.0%10.55%18.3%,0.0%0.11%3.49%3.51%4.22%9.71%,1.22%8.67%15.07%18.2%28.06%38.78%
